,stn,clade,sum,lat,lon
0,GP15_3_3,Acanthoecida,0.002331840396939141,55.08013,-155.72003
1,GP15_3_4,Acanthoecida,0.0020522020268652352,55.07994,-155.72033
2,GP15_3_5,Acanthoecida,0.0032531497527066994,53.68004,-153.79988
3,GP15_3_6,Acanthoecida,0.0011047529259496783,52.00014,-151.99978
4,GP15_3_8,Acanthoecida,0.002218730266664291,47.00009,-151.99986
5,GP15_3_9,Acanthoecida,0.001980466980244916,44.50019,-151.99984
6,GP15_3_10,Acanthoecida,0.0031303054362094448,41.99998,-151.99985
7,GP15_3_12,Acanthoecida,0.0038615659992064497,37.00007,-152.00017
8,GP15_3_14,Acanthoecida,0.0032110260966979236,32.00006,-151.99991
9,GP15_3_15,Acanthoecida,0.004426526825652116,29.5003,-152.0005
10,GP15_3_16,Acanthoecida,0.0031024275097274335,26.99984,-152.00004
11,GP15_3_18,Acanthoecida,0.004199474046227882,22.00015,-152.00005
12,GP15_3_18-3,Acanthoecida,0.00405850804191087,19.68113,-154.51301
13,GP15_3_19,Acanthoecida,0.0049031567331412115,17.49998,-152.00007
14,GP15_3_21,Acanthoecida,0.00491948785274955,11.00013,-152.00001
15,GP15_3_23,Acanthoecida,0.0045651100811065284,7.52686,-152.01638
16,GP15_3_25,Acanthoecida,0.005248411462234467,5.01547,-152.333
17,GP15_3_27,Acanthoecida,0.0046329448920594,2.49982,-152.01363
18,GP15_3_29,Acanthoecida,0.0026717716651739627,0.032,-152.01378
19,GP15_3_31,Acanthoecida,0.0031714157019988283,-2.50475,-152.00003
20,GP15_3_33,Acanthoecida,0.0027832560003388917,-4.99972,-152.0347
21,GP15_3_35,Acanthoecida,0.005563864161275597,-10.49975,-151.99948
22,GP15_3_37,Acanthoecida,0.0031912581351962333,-14.9986,-151.99808
23,GP15_3_39,Acanthoecida,0.004005627494858301,-19.99443,-152.09907
24,GP17-OCE_3_1,Acanthoecida,0.006683178733042335,-19.9999,-152.0003
25,GP17-OCE_3_3,Acanthoecida,0.007180166151986668,-24.9996,-151.25
26,GP17-OCE_3_6,Acanthoecida,0.005978461081414257,-32.5,-150.0012
27,GP17-OCE_3_8,Acanthoecida,0.005773890126497205,-37.5001,-149.2803
28,GP17-OCE_3_10,Acanthoecida,0.0015939283673226997,-42.5003,-148.4706
29,GP17-OCE_3_12,Acanthoecida,0.002469189004070496,-47.5,-147.5199
30,GP17-OCE_3_14,Acanthoecida,0.008362433693812534,-52.312,-146.4033
31,GP17-OCE_3_16,Acanthoecida,0.00420143729176686,-54.9995,-145.6559
32,GP17-OCE_3_18,Acanthoecida,0.006455719222558755,-56.1052,-145.3377
33,GP17-OCE_3_20,Acanthoecida,0.0035872495606953845,-57.6014,-144.8581
34,GP17-OCE_3_22,Acanthoecida,0.004193408481300552,-59.9971,-143.9992
35,GP17-OCE_3_25,Acanthoecida,0.009757020862011554,-66.9998,-134.9994
36,GP17-OCE_3_27,Acanthoecida,0.004876645951442761,-67.0003,-115.0079
37,GP17-OCE_3_32,Acanthoecida,0.004679738011028583,-59.9984,-82.4956
38,GP17-OCE_3_33,Acanthoecida,0.0035093688212611204,-57.0001,-78.9996
39,GP17-OCE_3_35,Acanthoecida,0.003708942997381879,-54.3512,-76.5493
40,GP17-OCE_3_37,Acanthoecida,0.003357502888689623,-53.4991,-75.751
41,GP17-OCE_3_38,Acanthoecida,0.0016485163772010068,-52.7019,-75.0972
42,GP15_3_3,Acidimicrobiales,1.592998955567683e-05,55.08013,-155.72003
43,GP15_3_4,Acidimicrobiales,0.0,55.07994,-155.72033
44,GP15_3_5,Acidimicrobiales,0.0,53.68004,-153.79988
